home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round,result
Palmeiras-SP,SP,Portuguesa-SP,SP,1,1,2012,1,1
Sport-PE,PE,Flamengo-RJ,RJ,1,1,2012,1,1
Figueirense-SC,SC,Nautico-PE,PE,2,1,2012,1,3
Ponte Preta-SP,SP,Atletico-MG,MG,0,1,2012,1,0
Corinthians-SP,SP,Fluminense-RJ,RJ,0,1,2012,1,0
Botafogo-RJ,RJ,Sao Paulo-SP,SP,4,2,2012,1,3
Internacional-RS,RS,Coritiba-PR,PR,2,0,2012,1,3
Vasco da Gama-RJ,RJ,Gremio-RS,RS,2,1,2012,1,3
Bahia-BA,BA,Santos-SP,SP,0,0,2012,1,1
Cruzeiro-MG,MG,Atletico-GO,GO,0,0,2012,1,1
Atletico-GO,GO,Ponte Preta-SP,SP,1,1,2012,2,1
Flamengo-RJ,RJ,Internacional-RS,RS,3,3,2012,2,1
Portuguesa-SP,SP,Vasco da Gama-RJ,RJ,0,1,2012,2,0
Nautico-PE,PE,Cruzeiro-MG,MG,0,0,2012,2,1
Santos-SP,SP,Sport-PE,PE,0,0,2012,2,1
Atletico-MG,MG,Corinthians-SP,SP,1,0,2012,2,3
Coritiba-PR,PR,Botafogo-RJ,RJ,2,3,2012,2,0
Sao Paulo-SP,SP,Bahia-BA,BA,1,0,2012,2,3
Gremio-RS,RS,Palmeiras-SP,SP,1,0,2012,2,3
Fluminense-RJ,RJ,Figueirense-SC,SC,2,2,2012,2,1
Atletico-GO,GO,Gremio-RS,RS,0,1,2012,3,0
Sport-PE,PE,Palmeiras-SP,SP,2,1,2012,3,3
Vasco da Gama-RJ,RJ,Nautico-PE,PE,4,2,2012,3,3
Atletico-MG,MG,Bahia-BA,BA,1,1,2012,3,1
Coritiba-PR,PR,Portuguesa-SP,SP,2,0,2012,3,3
Ponte Preta-SP,SP,Flamengo-RJ,RJ,2,2,2012,3,1
Internacional-RS,RS,Sao Paulo-SP,SP,1,0,2012,3,3
Santos-SP,SP,Fluminense-RJ,RJ,1,1,2012,3,1
Corinthians-SP,SP,Figueirense-SC,SC,1,1,2012,3,1
Botafogo-RJ,RJ,Cruzeiro-MG,MG,2,3,2012,3,0
Flamengo-RJ,RJ,Coritiba-PR,PR,3,1,2012,4,3
Palmeiras-SP,SP,Atletico-MG,MG,0,1,2012,4,0
Portuguesa-SP,SP,Atletico-GO,GO,2,0,2012,4,3
Gremio-RS,RS,Corinthians-SP,SP,2,0,2012,4,3
Fluminense-RJ,RJ,Internacional-RS,RS,0,0,2012,4,1
Bahia-BA,BA,Vasco da Gama-RJ,RJ,1,2,2012,4,0
Nautico-PE,PE,Botafogo-RJ,RJ,3,2,2012,4,3
Figueirense-SC,SC,Ponte Preta-SP,SP,0,0,2012,4,1
Cruzeiro-MG,MG,Sport-PE,PE,1,0,2012,4,3
Sao Paulo-SP,SP,Santos-SP,SP,1,0,2012,4,3
Internacional-RS,RS,Botafogo-RJ,RJ,1,2,2012,5,0
Cruzeiro-MG,MG,Figueirense-SC,SC,1,0,2012,5,3
Fluminense-RJ,RJ,Portuguesa-SP,SP,4,1,2012,5,3
Sao Paulo-SP,SP,Atletico-MG,MG,1,0,2012,5,3
Palmeiras-SP,SP,Vasco da Gama-RJ,RJ,1,1,2012,5,1
Bahia-BA,BA,Sport-PE,PE,2,1,2012,5,3
Flamengo-RJ,RJ,Santos-SP,SP,1,0,2012,5,3
Nautico-PE,PE,Gremio-RS,RS,1,0,2012,5,3
Coritiba-PR,PR,Atletico-GO,GO,3,0,2012,5,3
Ponte Preta-SP,SP,Corinthians-SP,SP,1,0,2012,5,3
Vasco da Gama-RJ,RJ,Cruzeiro-MG,MG,1,3,2012,6,0
Portuguesa-SP,SP,Sao Paulo-SP,SP,1,0,2012,6,3
Atletico-MG,MG,Nautico-PE,PE,5,1,2012,6,3
Corinthians-SP,SP,Palmeiras-SP,SP,2,1,2012,6,3
Gremio-RS,RS,Flamengo-RJ,RJ,2,0,2012,6,3
Figueirense-SC,SC,Bahia-BA,BA,1,1,2012,6,1
Sport-PE,PE,Internacional-RS,RS,0,2,2012,6,0
Botafogo-RJ,RJ,Ponte Preta-SP,SP,1,2,2012,6,0
Santos-SP,SP,Coritiba-PR,PR,2,2,2012,6,1
Atletico-GO,GO,Fluminense-RJ,RJ,1,4,2012,6,0
Nautico-PE,PE,Fluminense-RJ,RJ,0,2,2012,7,0
Cruzeiro-MG,MG,Sao Paulo-SP,SP,2,3,2012,7,0
Vasco da Gama-RJ,RJ,Ponte Preta-SP,SP,3,2,2012,7,3
Coritiba-PR,PR,Sport-PE,PE,2,3,2012,7,0
Portuguesa-SP,SP,Santos-SP,SP,0,0,2012,7,1
Bahia-BA,BA,Internacional-RS,RS,1,1,2012,7,1
Gremio-RS,RS,Atletico-MG,MG,0,1,2012,7,0
Palmeiras-SP,SP,Figueirense-SC,SC,3,1,2012,7,3
Flamengo-RJ,RJ,Atletico-GO,GO,3,2,2012,7,3
Corinthians-SP,SP,Botafogo-RJ,RJ,1,3,2012,7,0
Botafogo-RJ,RJ,Bahia-BA,BA,3,0,2012,8,3
Internacional-RS,RS,Cruzeiro-MG,MG,2,1,2012,8,3
Atletico-GO,GO,Nautico-PE,PE,0,1,2012,8,0
Figueirense-SC,SC,Vasco da Gama-RJ,RJ,1,1,2012,8,1
Fluminense-RJ,RJ,Flamengo-RJ,RJ,1,0,2012,8,3
Santos-SP,SP,Gremio-RS,RS,4,2,2012,8,3
Sao Paulo-SP,SP,Coritiba-PR,PR,3,1,2012,8,3
Ponte Preta-SP,SP,Palmeiras-SP,SP,1,0,2012,8,3
Sport-PE,PE,Corinthians-SP,SP,1,1,2012,8,1
Atletico-MG,MG,Portuguesa-SP,SP,2,0,2012,8,3
Figueirense-SC,SC,Atletico-MG,MG,3,4,2012,9,0
Corinthians-SP,SP,Nautico-PE,PE,2,1,2012,9,3
Ponte Preta-SP,SP,Coritiba-PR,PR,4,1,2012,9,3
Bahia-BA,BA,Flamengo-RJ,RJ,1,2,2012,9,0
Internacional-RS,RS,Santos-SP,SP,0,0,2012,9,1
Cruzeiro-MG,MG,Gremio-RS,RS,1,3,2012,9,0
Botafogo-RJ,RJ,Fluminense-RJ,RJ,1,1,2012,9,1
Palmeiras-SP,SP,Sao Paulo-SP,SP,1,1,2012,9,1
Vasco da Gama-RJ,RJ,Atletico-GO,GO,1,0,2012,9,3
Sport-PE,PE,Portuguesa-SP,SP,2,1,2012,9,3
Santos-SP,SP,Botafogo-RJ,RJ,0,0,2012,10,1
Gremio-RS,RS,Sport-PE,PE,3,1,2012,10,3
Portuguesa-SP,SP,Cruzeiro-MG,MG,0,2,2012,10,0
Nautico-PE,PE,Ponte Preta-SP,SP,3,0,2012,10,3
Sao Paulo-SP,SP,Vasco da Gama-RJ,RJ,0,1,2012,10,0
Atletico-MG,MG,Internacional-RS,RS,3,1,2012,10,3
Flamengo-RJ,RJ,Corinthians-SP,SP,0,3,2012,10,0
Fluminense-RJ,RJ,Bahia-BA,BA,4,0,2012,10,3
Coritiba-PR,PR,Palmeiras-SP,SP,1,1,2012,10,1
